loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_tenure,cibil_score,residential_asset_value,commercial_asset_value,luxury_asset_value,bank_assets_value,loan_status
L100032,3,Not Graduate,Yes,1737819,3048778,30,787,9364532,10364124,2007091,5589752,Approved
L100033,3,Graduate,No,1373697,2743695,20,829,9192397,14697733,4991091,7560116,Approved
L100034,5,Graduate,Yes,1137797,1818693,20,372,8559531,7205273,1147417,6169800,Rejected
L100035,5,Not Graduate,No,1670373,2041161,20,316,300406,4528458,2801516,1770358,Rejected
L100036,5,Graduate,No,2497296,3912949,20,830,517961,12790748,1294876,4989320,Approved
L100037,2,Graduate,No,2312077,1360015,15,625,1035598,14123778,160786,648843,Rejected
L100038,3,Graduate,No,744557,3906600,25,845,2511902,4327219,4735790,3501174,Rejected
L100039,3,Graduate,Yes,1140121,4563257,20,895,7169158,12779593,4523399,908840,Rejected
L100040,0,Graduate,Yes,1549757,151894,5,501,3640377,9191099,2075414,7883150,Rejected
L100041,2,Not Graduate,No,1875049,1458277,20,643,163944,13979901,1314530,7556929,Rejected
L100042,4,Graduate,No,633442,2583200,25,822,3022345,777150,910175,7154954,Rejected
L100043,2,Graduate,Yes,1227921,1654592,20,699,2969852,11706176,4928784,790023,Approved
L100044,4,Graduate,No,1570827,4524024,15,517,7950630,6316851,121701,5336758,Rejected
L100045,0,Graduate,No,2106874,3617945,10,744,5724827,11416537,2589433,7465439,Approved
L100046,1,Not Graduate,No,1159869,3716569,10,521,6800541,5472587,3941631,4835461,Rejected
L100047,3,Graduate,Yes,643814,3279112,25,682,4756004,9160077,1064641,6549172,Rejected
L100048,0,Graduate,No,1901797,1098966,10,891,1358454,14359896,1433043,7099283,Approved
L100049,3,Not Graduate,No,247406,4650549,10,306,7689969,2321991,3911278,6214566,Rejected
L100050,5,Graduate,No,1726317,4266794,5,571,3871018,5462762,248924,3162466,Rejected
L100051,1,Graduate,No,534583,882307,25,315,9459412,1676099,2800860,1182279,Rejected
L100052,1,Graduate,No,1171436,2139632,25,723,6412083,2090651,2090923,1721841,Approved
L100053,0,Graduate,Yes,1152429,1890875,10,823,7875639,12104134,1940711,1591920,Approved
L100054,1,Graduate,No,1759184,4849412,10,320,5010281,5855113,4738821,3910762,Rejected
L100055,4,Graduate,No,1299122,2418417,10,527,7698812,13874290,1363307,7850273,Rejected
L100056,1,Not Graduate,Yes,754489,4245843,30,587,6807643,9163064,1823334,7723832,Rejected
L100057,3,Graduate,No,2478476,3605971,15,433,5210558,11342841,4739693,6931060,Rejected
L100058,3,Graduate,Yes,634273,4056389,20,582,5959996,9281763,3710407,6249466,Rejected
L100059,3,Graduate,Yes,1883985,362579,15,703,2389911,527169,3218451,6982263,Approved
L100060,3,Graduate,No,1909989,4123542,25,365,8140210,7123801,3372021,3724434,Rejected
L100061,4,Not Graduate,No,1069424,1613825,5,736,1726681,3781876,190477,823622,Approved
L100062,2,Graduate,No,1341855,3568920,20,558,6554845,5065521,1214596,26014,Rejected
L100063,5,Graduate,No,838332,4078604,5,402,117408,1897465,1935272,3143889,Rejected
L100064,0,Not Graduate,No,1602591,3527794,30,866,636431,2263567,4494369,1776935,Approved
L100065,3,Graduate,Yes,876448,1574631,25,400,3435504,5698485,2567375,3909005,Rejected
L100066,1,Graduate,No,220463,1241890,30,497,9187896,4665770,4915782,4375654,Rejected
L100067,3,Graduate,No,2340652,2395251,25,525,1236541,10459177,179354,7203451,Rejected
L100068,1,Graduate,No,1406348,2942531,5,762,2036721,13771216,2417741,2885364,Approved
L100069,5,Not Graduate,No,1283183,2873978,5,536,6087494,9705069,4930731,484859,Rejected
L100070,5,Graduate,No,997942,4233583,5,325,6163185,8536341,1392928,714618,Rejected
L100071,5,Graduate,No,270076,956395,25,420,8706406,12417859,1417003,4684643,Rejected
L100072,1,Graduate,No,1257268,3878239,10,805,9639830,13398034,2182931,42192,Approved
L100073,3,Not Graduate,No,805129,4580734,5,481,8879391,8683585,1051636,7268260,Rejected
L100074,5,Graduate,No,867104,3473994,30,842,5036117,2724006,3785887,891307,Rejected
L100075,4,Not Graduate,Yes,952242,4907018,20,614,1107177,1119816,2642159,1008008,Rejected
L100076,1,Graduate,Yes,1072630,1994606,25,572,9175404,11116946,2013122,1409849,Rejected
L100077,1,Not Graduate,No,2408233,4855028,30,531,5408520,5168949,2082214,43923,Rejected
L100078,3,Not Graduate,Yes,1310294,2357600,15,719,4659014,10695064,1563159,1662060,Approved
L100079,1,Not Graduate,No,1551652,1020278,15,741,8070024,3971183,2647765,6289272,Approved
L100080,1,Not Graduate,No,674480,545919,20,795,5512460,3972369,3037253,5769563,Approved
L100081,5,Graduate,No,2494688,3331837,10,323,3494585,4550038,984943,7704625,Rejected
L100082,3,Graduate,No,186413,2998134,5,408,1992834,14504532,355431,3529619,Rejected
L100083,5,Graduate,No,1845994,2359608,25,801,5306175,3226250,15141,2849896,Approved
L100084,5,Graduate,No,714430,1397203,30,324,5648734,2470950,4524361,5651875,Rejected
L100085,3,Graduate,Yes,2283620,516589,5,486,5194914,11155560,2917199,2692468,Rejected
L100086,0,Graduate,No,1098202,2443365,30,587,4716302,6410563,2815263,947226,Rejected
L100087,5,Graduate,No,816015,1237018,25,637,2473055,8789784,3782700,7740359,Rejected
L100088,4,Graduate,No,1621867,1742737,15,336,1327877,9459646,4483900,766751,Rejected
L100089,4,Not Graduate,No,1065480,2317357,5,436,7516669,1043423,3561669,4859648,Rejected
L100090,1,Graduate,No,192056,1849971,20,807,7016812,10241437,574679,2063632,Rejected
L100091,4,Not Graduate,No,2298983,1194337,10,526,2687328,8315308,1693152,2976760,Rejected
L100092,1,Not Graduate,No,923952,1474473,20,619,6478623,2517626,4337074,3873416,Rejected
L100093,0,Not Graduate,Yes,1058380,3300428,10,481,1899955,92889,2337099,5498195,Rejected
L100094,3,Graduate,No,576488,3632334,30,385,4198811,12671864,4805303,7629100,Rejected
L100095,3,Not Graduate,Yes,782405,623881,5,766,6132446,717884,1944741,2543071,Approved
L100096,3,Not Graduate,Yes,1487768,1068454,5,352,672225,4609635,2850065,5537601,Rejected
L100097,4,Not Graduate,Yes,2010971,3928551,10,534,3510463,13487410,884094,4333087,Rejected
L100098,0,Graduate,No,1664101,4885925,15,732,9828942,2798945,2664812,3755564,Approved
L100099,4,Graduate,No,2480344,3351394,25,795,3070610,4415880,3714150,7597320,Approved
L100100,4,Graduate,No,1556150,2877364,20,399,8786301,3102923,824255,1541661,Rejected
L100101,0,Graduate,No,675005,3404513,30,898,3732238,13326593,4789750,4689491,Rejected
L100102,0,Graduate,No,1379458,2485678,20,702,1972613,10983909,1032564,3795109,Approved
L100103,0,Not Graduate,Yes,2219441,1726644,20,695,8306931,9254404,1181597,7575867,Approved
L100104,0,Not Graduate,No,1317272,3176813,30,826,3335705,11342269,573684,1901563,Approved
L100105,3,Graduate,No,2252146,1663560,30,714,5412049,10788548,1419056,3497720,Approved
L100106,2,Not Graduate,No,2316452,2343673,5,762,1344091,6616243,3177640,5448964,Approved
L100107,2,Graduate,No,711693,3525488,20,840,404470,7615487,513676,2891838,Rejected
L100108,0,Not Graduate,Yes,1495592,3070745,25,663,4329394,3137877,490913,4581858,Approved
L100109,2,Not Graduate,No,1897378,4694068,25,429,791624,4448388,2375804,2850467,Rejected
L100110,2,Graduate,No,1643551,3352923,10,383,7079903,8518074,2730689,2567488,Rejected
L100111,0,Graduate,No,1856517,3245741,30,570,5088890,7370563,140689,7214925,Rejected
L100112,2,Not Graduate,Yes,505054,2548714,5,543,1601207,10500348,1285801,3353800,Rejected
L100113,4,Graduate,No,1405715,266486,25,687,5248709,12370184,4070161,3393757,Approved
L100114,1,Graduate,No,1316670,476888,15,513,9995853,14823516,233725,3354775,Rejected
L100115,1,Not Graduate,Yes,830667,3606597,5,465,2995035,7751066,1158175,6656625,Rejected
L100116,0,Graduate,No,1275424,885988,5,358,6203690,11696265,3229449,130509,Rejected
L100117,3,Not Graduate,No,1366593,600428,25,803,484427,1594575,824356,2859224,Approved
L100118,0,Graduate,No,2164017,4507632,15,422,3958905,13243369,810672,5537987,Rejected
L100119,3,Not Graduate,No,594972,2139706,10,712,4083372,6145660,2368524,6254360,Rejected
L100120,1,Graduate,No,592899,1778782,25,438,1109229,1732329,1580296,2624713,Rejected
L100121,0,Not Graduate,No,631215,4355665,15,528,3893623,1857084,1505367,539618,Rejected
L100122,5,Not Graduate,No,850636,2939190,5,573,6191081,1394994,1797511,2249718,Rejected
L100123,4,Graduate,Yes,2149482,447172,15,738,2089884,4514057,646052,2697862,Approved
L100124,2,Graduate,No,570162,664673,5,861,4204099,12219013,161298,908521,Approved
L100125,3,Not Graduate,No,1802562,305658,25,417,8309740,1546557,2301374,3212,Rejected
L100126,5,Graduate,No,2138415,1540641,30,782,9900154,7398512,321243,232131,Approved
L100127,2,Graduate,No,195095,1780283,25,694,7273820,7084932,4018920,476657,Rejected
L100128,2,Graduate,Yes,1671722,804085,20,759,4821699,11474297,4736605,1660458,Approved
L100129,0,Graduate,No,2012205,801993,20,377,6605129,4968901,2081530,7472184,Rejected
L100130,2,Not Graduate,No,2112627,775571,20,711,6172056,12638398,2988793,7634851,Approved
L100131,4,Graduate,No,1744874,878282,25,374,1496030,3200890,3077165,5264887,Rejected
L100132,5,Graduate,No,1615915,521761,10,594,11009,13317559,1675125,638093,Rejected
L100133,2,Graduate,No,500067,3485715,25,320,4372472,29882,4457005,3490513,Rejected
L100134,0,Graduate,Yes,1856826,4152748,30,470,1723480,2675518,4093898,7960135,Rejected
L100135,4,Graduate,No,2209385,2624469,15,314,8313264,11330926,2800212,5027551,Rejected
L100136,1,Graduate,Yes,1591246,367942,25,510,3699397,9675864,130878,1835647,Rejected
L100137,5,Not Graduate,Yes,1525645,3944456,25,859,1991367,14264506,4743170,325737,Approved
L100138,2,Graduate,No,1494385,3895204,5,385,5569634,12757810,3744795,3657892,Rejected
L100139,0,Graduate,Yes,2420463,387462,5,448,8718936,1398705,2762108,6369494,Rejected
L100140,1,Not Graduate,No,984440,3978207,5,671,4409013,14986236,1892508,5215302,Rejected
L100141,1,Graduate,No,1999691,4594350,25,779,2708668,6211715,2693974,1404619,Approved
L100142,3,Not Graduate,No,806030,471773,10,450,5053679,6804327,2893713,2887320,Rejected
L100143,4,Graduate,No,1647404,2480630,15,440,1000294,4817530,4650914,6020674,Rejected
L100144,2,Graduate,No,849895,4613167,15,368,5658307,6934063,4992332,7356505,Rejected
L100145,0,Graduate,Yes,395144,2880514,30,559,9335592,556831,3343473,4847363,Rejected
L100146,3,Graduate,No,1394360,2845126,10,820,8174244,9037175,1947012,5368681,Approved
L100147,4,Not Graduate,No,926505,4316399,10,670,2285362,14709426,3397094,6194403,Rejected
L100148,3,Graduate,No,1299734,2777364,15,718,2842894,6711987,3534666,894030,Approved
L100149,5,Graduate,No,1996585,3673638,20,400,8565873,14838882,4871482,6902367,Rejected
L100150,4,Graduate,No,1262548,2767892,5,542,7860791,4597577,2009326,3653980,Rejected
L100151,4,Graduate,No,1056450,137593,5,811,3036773,11777057,4193513,5467977,Approved
L100152,2,Not Graduate,No,1681583,741252,15,854,4384432,9217955,3725614,6590420,Approved
L100153,4,Graduate,No,1632795,952473,10,394,1690792,5132869,2230878,3361661,Rejected
L100154,3,Graduate,No,432140,176202,30,525,1631570,9078125,4321613,3465461,Rejected
L100155,4,Graduate,Yes,1758795,2224758,20,817,4773598,8762127,4884592,4915471,Approved
L100156,2,Graduate,Yes,1365358,3319497,15,513,1660102,7482426,3700568,1329134,Rejected
L100157,2,Not Graduate,Yes,708981,168542,5,366,1511710,7934132,4176672,7729554,Rejected
L100158,5,Graduate,No,2193321,1467158,25,695,7276281,7111905,403552,6315676,Approved
L100159,3,Not Graduate,No,258944,1885932,10,311,9220838,13426136,3189291,2681971,Rejected
L100160,1,Graduate,No,1947519,2722762,25,536,816609,11431006,1066937,5615026,Rejected
L100161,1,Graduate,No,2192754,1693906,30,698,4584470,13859696,1123045,4701713,Approved
L100162,4,Not Graduate,Yes,2494724,3766434,15,706,6807087,2030888,1569157,2794937,Approved
L100163,5,Graduate,No,2108691,505433,5,779,4062316,1037904,3656299,6300843,Approved
L100164,0,Graduate,No,347097,4869291,20,521,5587239,5634222,4744408,6537208,Rejected
L100165,4,Not Graduate,No,2103341,140140,25,455,1655464,6046941,1830286,6892559,Rejected
L100166,5,Graduate,No,1123737,1565554,20,727,9795427,6388406,3816707,4746176,Approved
L100167,3,Not Graduate,No,1283387,1634645,30,457,8377114,4369246,234295,4763375,Rejected
L100168,3,Graduate,No,1388697,1497307,5,715,8356164,8353170,4811071,1743745,Approved
L100169,3,Not Graduate,No,2017829,3796962,25,625,878835,11599165,4221123,4903991,Rejected
L100170,3,Not Graduate,Yes,2167807,3280786,30,670,9012186,11255650,4074973,4843086,Approved
L100171,3,Graduate,No,604151,4726103,20,643,7556142,9972060,3530202,3785830,Rejected
L100172,5,Not Graduate,Yes,1654314,3501001,20,561,3277560,14549434,8798,250139,Rejected
L100173,5,Graduate,No,1394199,3466403,25,582,3169870,9280320,4874807,1965760,Rejected
L100174,2,Not Graduate,Yes,845532,1848594,5,528,5088268,10432027,3900275,500228,Rejected
L100175,1,Graduate,No,445866,3671420,20,579,7279995,7642897,3822270,5909097,Rejected
L100176,3,Graduate,Yes,947057,2439127,15,589,6422892,8661351,4728007,1746197,Rejected
L100177,0,Graduate,No,348237,3993439,30,346,2379093,8723346,1977165,7151476,Rejected
L100178,5,Graduate,No,2192589,1945618,25,513,5480283,6767414,3553952,5128803,Rejected
L100179,0,Graduate,Yes,1110811,4690239,10,323,2760451,13315702,3757654,5489389,Rejected
L100180,0,Not Graduate,Yes,1955518,2927448,10,620,9085997,5901179,3603019,4207884,Rejected
L100181,0,Not Graduate,No,1482559,1301661,5,573,6369553,14932920,2039436,5785408,Rejected
L100182,2,Not Graduate,No,2296674,3514524,15,855,6432975,12867205,2731645,778639,Approved
L100183,5,Graduate,Yes,2477385,1164100,20,612,4241244,8254080,4210563,3491318,Rejected
L100184,0,Graduate,No,1571969,1559390,10,662,3904840,7013383,1189297,4663272,Approved
L100185,3,Graduate,Yes,2254637,2057878,5,679,3820730,11675616,1013295,5085269,Approved
L100186,4,Graduate,No,1623247,4762037,30,769,2848411,197170,3317837,4972863,Approved
L100187,0,Graduate,No,1965920,365617,15,415,3344443,5614058,1091723,2012191,Rejected
L100188,2,Graduate,No,2132847,1854053,15,341,9445112,5423444,4268584,1532239,Rejected
L100189,5,Not Graduate,No,2359853,1143015,5,678,2444149,7360983,368921,6719538,Approved
L100190,2,Graduate,Yes,357352,4520756,5,505,6930358,4374296,1670705,605262,Rejected
L100191,0,Graduate,No,1825502,141563,20,765,2214669,4765358,1697590,5840569,Approved
L100192,5,Graduate,Yes,334514,2898768,5,579,7496121,12377782,2173367,2310317,Rejected
L100193,4,Graduate,No,948658,1395801,20,417,1954702,7499455,1406085,4599731,Rejected
L100194,0,Graduate,No,2007596,2877754,20,536,9488077,2574584,3418857,4646505,Rejected
L100195,2,Not Graduate,No,1408624,1632701,25,608,9575779,7782634,2626301,5407220,Rejected
L100196,1,Graduate,Yes,1885645,1740992,15,755,2933361,11097170,2029662,3935806,Approved
L100197,3,Graduate,Yes,2284171,4412200,30,774,421655,4990044,1755864,710731,Approved
L100198,2,Graduate,No,1112452,1067497,15,399,5323940,2565513,296508,3918139,Rejected
L100199,5,Not Graduate,No,1460073,3909949,15,560,799717,11617547,4538847,2402112,Rejected
L100200,0,Not Graduate,Yes,739421,4274367,25,604,5647069,3567008,1538827,3235188,Rejected
L100201,3,Not Graduate,No,1920394,3789469,20,653,2482266,447095,1821936,1354832,Approved
L100202,0,Graduate,Yes,2405750,304371,20,585,921806,11660870,2611212,3196776,Rejected
L100203,5,Graduate,No,1968036,3133128,5,627,4965440,6824464,2321554,2020991,Rejected
L100204,0,Graduate,No,2239934,2249318,25,402,9179651,10874108,4761515,5375730,Rejected
L100205,1,Not Graduate,No,1691326,3144510,5,362,7873692,11970492,3332696,3977912,Rejected
L100206,3,Not Graduate,Yes,618758,1212180,25,581,1193728,2701433,4696158,7818225,Rejected
L100207,3,Graduate,No,1105205,470888,5,740,5061354,9374587,2787352,2093787,Approved
L100208,5,Not Graduate,Yes,2273091,1413133,10,592,6911957,6600713,1381880,6100038,Rejected
L100209,1,Not Graduate,No,1116649,240285,15,306,1504329,835358,3376042,7027656,Rejected
L100210,2,Graduate,Yes,936635,3246699,15,391,1777850,9868603,2498544,1022805,Rejected
L100211,0,Not Graduate,No,1084048,2567649,30,489,6686269,10181445,295673,944793,Rejected
L100212,4,Not Graduate,No,2014071,2261130,20,775,535888,1971472,2765453,4501236,Approved
L100213,0,Graduate,No,678036,1257739,30,810,7157303,12787492,525957,6558347,Approved
L100214,0,Graduate,No,1577989,2251016,10,761,3918446,13157585,1789718,7283782,Approved
L100215,2,Graduate,No,2182709,3178411,30,352,6971631,1079229,3725802,2621485,Rejected
L100216,0,Graduate,No,1017196,4638599,15,785,2202888,1140441,4900747,7304238,Rejected
L100217,1,Graduate,No,1350532,2766826,20,789,6703562,12012272,4103308,1580622,Approved
L100218,1,Graduate,No,1149074,1538543,10,663,2552192,13233013,3690339,3925413,Approved
L100219,3,Not Graduate,No,614462,2752303,15,411,8524405,1194447,2327654,911508,Rejected
L100220,5,Graduate,No,824619,2487587,5,708,1724620,6539991,4167973,1727373,Approved
L100221,4,Graduate,No,1326792,3202963,25,306,5169719,1587916,301951,3820673,Rejected
L100222,0,Graduate,No,2118183,1161288,10,496,4830165,2234268,4584753,140926,Rejected
L100223,0,Graduate,Yes,1966250,3348273,20,666,6566692,6442399,4183293,183148,Approved
L100224,2,Not Graduate,Yes,2422759,1821503,30,549,358062,12803287,312499,843382,Rejected
L100225,5,Graduate,Yes,559319,4370153,30,894,7248730,2603087,495655,2769861,Rejected
L100226,1,Graduate,No,424535,4499797,10,539,2077645,14569226,1686279,5919588,Rejected
L100227,4,Graduate,Yes,1096405,654111,20,679,1401471,12206970,4107964,5408248,Approved
L100228,3,Not Graduate,No,771825,1202791,10,770,4779897,4961826,4465159,494496,Approved
L100229,1,Not Graduate,No,1067472,3961087,20,754,1716548,5199648,2553447,4213759,Rejected
L100230,5,Graduate,No,2428581,2493869,30,665,4952505,14411793,3734049,7025640,Approved
L100231,3,Graduate,Yes,2154517,797948,15,589,9406751,6636708,1270242,6214405,Rejected
L100232,2,Graduate,Yes,971935,2609244,5,702,4100321,9672204,3087399,5708019,Approved
L100233,2,Graduate,No,2212362,881635,15,357,2097711,49892,2290860,7571929,Rejected
L100234,0,Graduate,No,2157338,1517217,5,820,6095561,6473049,2811318,6723965,Approved
L100235,5,Graduate,Yes,738574,2794686,30,603,37361,5072237,1189042,7832678,Rejected
L100236,4,Graduate,No,254927,3280545,15,414,2898845,7030736,1173077,4807144,Rejected
L100237,3,Graduate,No,1999916,281414,15,509,8146836,8734143,4978820,5026852,Rejected
L100238,1,Not Graduate,No,173386,4501116,10,340,3463227,6571520,4811102,382605,Rejected
L100239,5,Graduate,No,1376402,2113729,25,472,8093068,11790552,3239436,4759076,Rejected
L100240,5,Graduate,No,1489022,2452110,30,533,2457856,3118113,1030649,947719,Rejected
L100241,2,Graduate,No,1521535,1693083,20,889,1761856,6060297,3381331,5586662,Approved
L100242,0,Graduate,No,402156,2065726,30,702,2341102,9596543,3027936,2755916,Rejected
L100243,0,Not Graduate,No,999776,3452862,20,338,37,9171667,4754895,4362636,Rejected
L100244,3,Graduate,No,1103122,1460808,20,418,9010139,2222854,551741,3246375,Rejected
L100245,2,Graduate,No,619450,4231430,5,634,6251936,12656439,895318,3735658,Rejected
L100246,5,Not Graduate,No,473258,71650,20,635,653668,3292239,723809,3881819,Rejected
L100247,4,Graduate,No,2495876,1454962,20,838,3404158,915108,1572102,832441,Approved
L100248,2,Graduate,No,2448354,3073846,10,373,2656040,13411579,156837,5204497,Rejected
L100249,3,Not Graduate,No,264589,1923204,15,490,703645,4877323,519676,5371704,Rejected
L100250,3,Graduate,No,1343982,2963293,30,623,4911672,2384272,1795651,7064658,Rejected
L100251,2,Graduate,Yes,769003,2389189,30,446,8215984,11354835,1610921,7107493,Rejected
L100252,3,Not Graduate,No,343839,256251,20,583,8131631,2820377,4463593,3780895,Rejected
L100253,2,Graduate,No,656453,3894328,25,512,9694535,1418351,3973883,6197953,Rejected
L100254,1,Graduate,No,595872,4120101,30,693,2621872,4917970,2694670,7985147,Rejected
L100255,2,Graduate,Yes,1705811,4563207,20,638,593975,3726713,1156714,4462028,Rejected
L100256,2,Not Graduate,No,1032894,1466693,5,321,5052683,8983278,4161460,901334,Rejected
L100257,3,Graduate,Yes,1806042,944801,5,404,3983063,9191691,736664,6559000,Rejected
L100258,3,Graduate,No,2140073,1774854,5,765,2282373,180116,3868784,1743579,Approved
L100259,0,Graduate,Yes,903492,432811,20,758,2840152,12597545,504788,4945849,Approved
L100260,0,Graduate,No,246393,4745995,10,731,7527872,12662076,1506440,5240266,Rejected
L100261,1,Graduate,Yes,2060332,1058314,25,520,2550552,787001,4411045,127319,Rejected
L100262,0,Graduate,No,1628081,4458608,20,678,9240832,5048245,1477482,512193,Approved
L100263,2,Graduate,No,1720889,2543330,10,521,2392735,12706337,2840918,1527965,Rejected
L100264,3,Graduate,Yes,1695491,1767787,10,557,7504361,13357420,2941507,4301264,Rejected
L100265,0,Graduate,No,787999,4446208,30,666,7314153,14021154,3313372,39015,Rejected
L100266,0,Graduate,Yes,889538,761716,20,648,5418626,8683790,1233678,5576737,Rejected
L100267,1,Graduate,Yes,1209670,2817257,20,524,9750576,9617344,1125664,728165,Rejected
L100268,5,Graduate,No,2072967,2885623,10,535,3622546,1252825,2087403,932478,Rejected
L100269,1,Not Graduate,No,1100922,1749660,10,482,5996522,2302690,2667107,6436565,Rejected
L100270,2,Graduate,No,1990749,395430,10,743,3606940,722153,3725563,2574660,Approved
L100271,3,Graduate,No,1834449,878411,30,305,5935537,12001338,3380635,1834927,Rejected
L100272,1,Graduate,No,615590,1907845,20,535,3600200,3446010,2959532,933671,Rejected
L100273,0,Not Graduate,Yes,1709067,2555365,10,426,559031,14577749,4150122,5331634,Rejected
L100274,3,Not Graduate,Yes,1583284,1989983,5,403,6491280,6492922,1106136,6513231,Rejected
L100275,3,Graduate,No,1267374,897405,20,779,2701243,7315845,901495,3451020,Approved
L100276,0,Graduate,No,2448756,2341947,30,454,5444003,2569395,3120847,2824665,Rejected
L100277,1,Not Graduate,No,2357282,283462,5,556,4435728,3332951,2311753,6968350,Rejected
L100278,0,Graduate,No,180257,3036068,15,534,8594992,11382932,2977802,4940659,Rejected
L100279,5,Graduate,No,557427,2018921,20,799,6542155,14266950,2473758,3006374,Rejected
L100280,3,Graduate,No,1135257,3451447,15,588,7165371,311416,2030603,1921086,Rejected
L100281,4,Graduate,No,1251267,2700196,10,809,4135554,137980,3330014,7396911,Approved
L100282,4,Not Graduate,No,2205845,3838264,30,851,2988088,2501212,4474445,4314198,Approved
L100283,2,Not Graduate,No,1802632,3750357,10,868,979907,7129343,3149407,2687279,Approved
L100284,0,Graduate,Yes,568829,460226,30,597,213968,13603581,3710324,1078332,Rejected
L100285,0,Graduate,Yes,693898,1814694,25,436,8683565,5835615,982912,4862347,Rejected
L100286,2,Not Graduate,No,1696933,1857254,10,675,1901737,4924191,2544306,1229133,Approved
L100287,2,Not Graduate,No,475329,4901039,15,386,4985248,13970740,529983,1277879,Rejected
L100288,2,Graduate,Yes,1377222,1722349,30,718,9853066,12809213,2323964,5647121,Approved
L100289,3,Not Graduate,No,1191482,181562,10,498,6409363,824765,582787,4149658,Rejected
L100290,5,Not Graduate,No,1716996,1102305,20,762,2302743,907651,23382,674075,Approved
L100291,0,Not Graduate,No,1693812,4502664,30,736,4588156,9782357,4911887,987601,Approved
L100292,3,Graduate,No,2101144,3217126,30,609,985461,1350417,3803454,4685903,Rejected
L100293,2,Graduate,No,1015256,2443946,10,895,5831759,6046946,2549684,4689587,Approved
L100294,0,Not Graduate,No,2145957,4872481,25,580,5710912,13494864,4940560,2714383,Rejected
L100295,3,Graduate,No,150917,3461031,10,622,1806423,6702705,3783847,742476,Rejected
L100296,5,Not Graduate,No,1001007,410306,15,451,1950408,990391,2158988,4138937,Rejected
L100297,3,Graduate,No,429143,2774274,15,601,9016523,4249367,1342643,4342492,Rejected
L100298,5,Graduate,No,412091,1644502,30,577,3594128,6835084,1303609,561032,Rejected
L100299,2,Graduate,Yes,1653637,3983233,30,307,9565565,587069,1930719,6416153,Rejected
L100300,5,Graduate,No,553157,1538303,10,534,8106584,3947061,911345,3626523,Rejected
